Abellán Beteta, Carlos:INSPIRE-00259460
Adeva, Bernardo:INSPIRE-00194077
Adinolfi, Marco:INSPIRE-00060950
Ajaltouni, Ziad:INSPIRE-00061185
Akar, Simon:INSPIRE-00277451
Albrecht, Johannes:INSPIRE-00259834
Alessio, Federico:INSPIRE-00257446
Alexander, Michael:INSPIRE-00160626
Ali, Suvayu:INSPIRE-00340938
Alkhazov, Georgy:INSPIRE-00061628
Alvarez Cartelle, Paula:INSPIRE-00259650
Alves Jr, Antonio Augusto:INSPIRE-00258623
Amato, Sandra:INSPIRE-00061842
Amerio, Silvia:INSPIRE-00041447
Amhis, Yasmine:INSPIRE-00260470
An, Liupan:INSPIRE-00451766
Anderlini, Lucio:INSPIRE-00357120
Andreassi, Guido:
Andreotti, Mirco:INSPIRE-00042608
Andrews, Jason:INSPIRE-00387304
Appleby, Robert:INSPIRE-00193766
Aquines Gutierrez, Osvaldo:INSPIRE-00257902
Archilli, Flavio:INSPIRE-00340940
d'Argent, Philippe:INSPIRE-00522530
Arnau Romeu, Joan:
Artamonov, Alexander:INSPIRE-00320358
Artuso, Marina:INSPIRE-00063052
Aslanides, Elie:INSPIRE-00257456
Auriemma, Giulio:INSPIRE-00258647
Baalouch, Marouen:INSPIRE-00387320
Bachmann, Sebastian:INSPIRE-00257758
Back, John:INSPIRE-00041629
Badalov, Alexey:INSPIRE-00387629
Baesso, Clarissa:INSPIRE-00357139
Baldini, Wander:INSPIRE-00210350
Barlow, Roger:INSPIRE-00064590
Barschel, Colin:INSPIRE-00295950
Barsuk, Sergey:INSPIRE-00257536
Barter, William:INSPIRE-00340962
Batozskaya, Varvara:INSPIRE-00387971
Battista, Vincenzo:INSPIRE-00451956
Bay, Aurelio:INSPIRE-00065250
Beaucourt, Leo:INSPIRE-00399871
Beddow, John:INSPIRE-00340975
Bedeschi, Franco:INSPIRE-00065532
Bediaga, Ignacio:INSPIRE-00065546
Bel, Lennaert:INSPIRE-00522548
Bellee, Violaine:
Belloli, Nicoletta:
Belous, Konstantin:INSPIRE-00259437
Belyaev, Ivan:INSPIRE-00258730
Ben-Haim, Eli:INSPIRE-00052383
Bencivenni, Giovanni:INSPIRE-00258283
Benson, Sean:INSPIRE-00341004
Benton, Jack:INSPIRE-00344672
Berezhnoy, Alexander:INSPIRE-00202631
Bernet, Roland:INSPIRE-00066526
Bertolin, Alessandro:INSPIRE-00173823
Bettler, Marc-Olivier:INSPIRE-00001810
van Beuzekom, Martinus:INSPIRE-00032419
Bifani, Simone:INSPIRE-00000685
Billoir, Pierre:
Bird, Thomas:INSPIRE-00344700
Birnkraut, Alex:INSPIRE-00522660
Bitadze, Alexander:
Bizzeti, Andrea:INSPIRE-00258210
Blake, Thomas:INSPIRE-00261950
Blanc, Frederic:INSPIRE-00067348
Blouw, Johan:INSPIRE-00257778
Blusk, Steven:INSPIRE-00067685
Bocci, Valerio:INSPIRE-00067707
Boettcher, Thomas:
Bondar, Alexander:INSPIRE-00259423
Bondar, Nikolay:INSPIRE-00317412
Bonivento, Walter:INSPIRE-00258110
Borghi, Silvia:INSPIRE-00261856
Borisyak, Maxim:
Borsato, Martino:INSPIRE-00388228
Bossu, Francesco:
Boubdir, Meriem:
Bowcock, Themistocles:INSPIRE-00068684
Bowen, Espen Eie:INSPIRE-00388407
Bozzi, Concezio:INSPIRE-00068846
Braun, Svende:INSPIRE-00470092
Britsch, Markward:INSPIRE-00257919
Britton, Thomas:INSPIRE-00295976
Brodzicka, Jolanta:INSPIRE-00369499
