author,title,date,publisher,subject,type,qualname,quallevel,abstract,catalogued,file1,file2,file3,subject1,subject2,subject3,estc,description,language,identifier
"Stevenson, Gulielmo N.,   active 1810.","Dissertatio medica inauguralis de hydrophobia : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Gulielmus N. Stevenson, Scotus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Rabies.,,,Thesis (M.D.)--University of Edinburgh.,lat,9916218013502466,,,
"Stritch, John,   1786-1821.","Dissertatio medica inauguralis, de contagio : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Joannes Stritch, A.B. Trin. Coll. Dub. Hibernus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Salmonella Infections,,,Thesis (M.D.)--University of Edinburgh.,lat,9916218063502466,,,
"Thorpe, William,   active 1810.","Dissertatio medica inauguralis, de sanguinis circuitu : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Guilielmus Thorpe, A.B. Trin. Coll. Dub. Hibernus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Blood circulation,,,Thesis (M.D.)--University of Edinburgh.,lat,9916218103502466,,,
"Titley, John Maddox.   ","Dissertatio medica inauguralis de alvi purgantium natura et usu : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Joannes Maddox Titley, Ex Insula St. Kitts, Chirurgus, Societatis Regiae Medicae Edinburgenae Scoius Extraordinarius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Laxatives,,,Thesis (M.D.)--University of Edinburgh.,lat,9916218153502466,,,
"Wahab, Thomas,   active 1810.","Dissertatio medica inauguralis de apoplexia : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Thomas Wahab, A.M. Hibernus, Chirurgus, &c.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Stroke,,,Thesis (M.D.)--University of Edinburgh.,lat,9916218183502466,,,
"Williamson, Jacobo,   active 1810.","Dissertatio medica inauguralis, de dysenteria : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Jacobus Williamson, Scotus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Stroke,,,Thesis (M.D.)--University of Edinburgh.,lat,9916218223502466,,,
"Wylie, George.   ","Dissertatio medica inauguralis de enteritide : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Georgius Wylie, Scotus, Societat. Reg. Physic. Edinburgenae Socius Extraordinarius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Enteritis,,,Thesis (M.D.)--University of Edinburgh.,lat,9916218253502466,,,
"Selby, William D.   ","Dissertatio medica inauguralis de pneumonia : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Gulielmus D. Selby, Anglo-Americanus, Socius Extraordinarius Societatis Regiae Physicae Edinensis.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Pneumonia,,,Thesis (M.D.)--University of Edinburgh.,lat,9916219453502466,,,
"Whittam, John,   active 1810.","Dissertatio medica inauguralis de hydrope anasarca : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Joannes Whittam, Colleg. Regal. Chirurg. Soc. Anglus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Edema,,,Thesis (M.D.)--University of Edinburgh.,lat,9916219863502466,,,
"Anderson, James,   active 1810,","Dissertatio medica inauguralis de sanitate militum tuenda : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. academiae Edinburgenae praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Jacobus Anderson, Britannus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.7.1.pdf,,,,Military hygiene,,,Thesis (M.D.)--University of Edinburgh.,lat,9916220113502466,Att.83.7.7.1.pdf,,
