System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
231,Kenneth,Green,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
246,Duncan,McGregor Whyte,,,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",Male
8336,Jacqueline A.,Waterson,Jacqueline,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
8413,Robert,Thoroton,Robert,,,Individual,Person,Subject Person : Sitter,
8572,J,Docherty,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
2744,Bobby,Mickleburgh,Bobby,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
4036,Catherine II,,,Empress,of Russia,Individual,Person,Subject Person,
1086,J.,Ferguson,,,,Individual,,"Production Person (pri & sec) : Lithographer, Production Person (secondary) : Lithographer",
3936,,"Newton, Rev. Richard, Lees, Rev. G. Robinson",,,,Association,Corporate,,
7721,John,Locke,,,,Individual,Person,Subject Person : Sitter,
1883,,Blackman,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
5283,A.G.,Ogilvie,A.G.,,,Individual,Person,,
8815,Ken,Turner,Ken,,,,Person,"Production Person (pri & sec) : Collaborator, Production Person (primary) : Collaborator",Male
720,Michael,Heale,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
4787,James,Murray,,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (pri & sec) : Surveyor, Production Person (primary) : Mapmaker, Production Person (primary) : Surveyor",
719,Jacky,MacBeath,Jacky,,,Individual,Person,"Approved by, Organizer : Curator, Organizer : Chief, Classifier, Curator",
338,John,Hutchison,,,,Individual,,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
8826,,Webb,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
3399,,Anaesthesia,,,,Individual,Person,,
3409,Robert Scott,Mylne,Robert,,,Individual,Person,,
3410,J.C.,Sepp,J.C.,,,Individual,Person,,
501,James,Guthrie,,Sir,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",Male
6361,Katherine B K,Burns,Katherine,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8321,Tina,Lappinen-Ritchie,Tina,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
491,Elizabeth Milne,Home,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
4063,Thomas Erskine,Erskine,Thomas,Baron,,Individual,Person,Subject Person,
5833,Roger,Clarke,Roger,,,Individual,Person,Acquisition Source : lender,
3822,Max,Planck,Max,Professor,,Individual,Person,,
3963,William Henry,Pyne,William,,,Individual,Person,,
5707,John,Walker,John,,,Individual,Person,,
5697,Charles,Estienne,Charles,,,Individual,Person,,
7657,Étienne Jehandier,Desrochers,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
8939,Helen,Creasey,,,,,Person,Treatment Person,Female
8940,Ian Macalister,Moffat-Pender,,,,,Person,Acquisition Source : donor,
3063,Anne,Jackson,Anne,Ms,,Individual,Person,Acquisition Source : donor,Female
1483,Charles,Heath,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
6981,Harriet,O'Rourke,Harriet,,,Individual,Person,,Female
7081,,Antic-Ham,,,,Business,Corporate,,
7184,,Mackenzie,,Major,,Individual,Person,,
2963,M.,Hohner,M.,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
