System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
7510,Agasias,,,,son of Dositheus,,Person,"Production Person (pri & sec) : after, Production Person (primary) : after",Male
7508,Alexandros,,,,of Antioch,,Person,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
8264,Alfred Ernest Albert,,,,Duke of Saxe-Coburg and Gotha,,Person,Subject Person : Sitter,Male
7509,Cleomenes,,,,the Athenian,,Person,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
223,"E. A. Walton, T. R. Annan & Son",,,,,,,"Production Person (pri & sec), Production Person (primary), Researcher",
94,"Giambologna, Giovanni, Jean",", da Bologna, de Bologne",Giambologna,,,,Person,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
8945,Glasgow Women's Library,,Glasgow,,,,Person,Current Owner,
1619,Henrietta Maria,,Henrietta,Queen,,,Person,Subject Person : Sitter,Female
854,J.,,,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
7511,Leochares,,,,,,Person,"Production Person (pri & sec) : after, Production Person (primary) : after",Male
7512,Lysippos,,,,,,Person,"Production Person (pri & sec) : after, Production Person (primary) : after",Male
7506,Polykleitos,,Polykleitos,,,,Person,"Production Person (pri & sec) : after, Production Person (primary) : after",Male
3023,Rembrandt van Rijn,,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
8822,Robert Halliday,,Robert,,MD LLD FRSE Grand Dignitary of the Order of the Rose of the Empire of Brazil,,Person,Subject Person : Sitter,
7748,"Pieter van der, Pierre vander, Petrus vander","Aa, Aa",,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Mapmaker, Production Person (pri & sec) : Printmaker, Production Person (pri & sec) : Author, Production Person (pri & sec) : Publisher, Production Person (primary), Production Person (primary) : Mapmaker, Production Person (primary) : Printmaker, Production Person (primary) : Author, Production Person (primary) : Publisher",
8446,David,Abbott,David,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
80,Lady,Abercromby,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
7947,John,Abernethy,,,,Individual,Person,Subject Person : Sitter,Male
7918,Franz Karl,Achard,,,,Individual,Person,Subject Person : Sitter,
7928,Erik,Acharius,,,,Individual,Person,Subject Person : Sitter,
7952,Jacob Fidelis,Ackermann,,,,Individual,Person,Subject Person : Sitter,
407,Norman,Ackroyd,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7877,Johann Gustave,Acrel,,,,Individual,Person,Subject Person : Sitter,
7898,Jakob,Adam,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
3605,Robert,Adam,Robert,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6484,Colin,Adams,Colin,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7846,Johann Traugott,Adolph,,,,Individual,Person,Subject Person : Sitter,
703,Jacob,Afolabi,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
8105,John Samuel,Agar,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
172,D,Agjir,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
7932,Francesco,Aglietti,,,,Individual,Person,Subject Person : Sitter,
7760,Christoph Ludwig,Agricola,,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Painter, Production Person (secondary), Production Person (secondary) : Painter, Subject Person : Sitter",
7767,Georg Andreas,Agricola,,,,Individual,Person,Subject Person : Sitter,
7693,Johann,Agricola,,,,Individual,Person,Subject Person : Sitter,
7671,Heinrich Cornelius,Agrippa von Nettesheim,,,,Individual,Person,Subject Person : Sitter,
8186,Johan,Ahlberg,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",Male
877,William,Aikman,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (pri & sec) : Artist, Production Person (pri & sec) : possibly after, Production Person (primary) : Painter, Production Person (primary) : Artist, Production Person (primary) : possibly after",Male
403,John MacDonald,Aitken,John M,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
7831,Mark,Akenside,,,,Individual,Person,Subject Person : Sitter,Male
7776,Michael,Alberti,,,,Individual,Person,Subject Person : Sitter,
7799,Bernhard Siegfried,Albinus,,,,Individual,Person,Subject Person : Sitter,
8226,Taddeo,Alderotto,,,,Individual,Person,Subject Person : Sitter,
7992,Charles,Aldis,,Sir,,Individual,Person,Subject Person : Sitter,Male
7677,Ulisse,Aldrovani,,,,Individual,Person,Subject Person : Sitter,
6036,Alan,Alexander,Alan,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
6934,Alan M.,Alexander,Alan,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
7009,Claire,Alexander,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8901,Isobel L,Alexander,Isobel,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7003,Susan,Alexander,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6832,Vivien,Alexander,Vivien,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
7966,Jean Louis,Alibert,,,,Individual,Person,Subject Person : Sitter,
550,David,Alison,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
8167,,Alix,,,,Individual,Person,"Production Person (pri & sec) : Poet, Production Person (secondary) : Poet",
54,David,Allan,,,,Individual,,"Production Person (pri & sec) : after, Production Person (pri & sec) : Artist, Production Person (pri & sec) : Engraver, Production Person (primary) : after, Production Person (primary) : Artist, Production Person (primary) : Engraver",Male
6675,L.,Allan,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6431,Louise,Allardyce,Louise,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7851,Francesco,Allegrini,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
7973,Joseph,Allen,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",
8061,George James,Allman,,,"FRS, FRSE",Individual,Person,Subject Person : Sitter,Male
8078,Raffaello,Alloja,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
79,Jean-Paul,Allon,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
8068,Prospero,Alpino,,,,Individual,Person,Subject Person : Sitter,
7687,Mathurini,Altoni,,,,Individual,Person,Subject Person : Sitter,
7907,Bruno,Amantea,,,,Individual,Person,Subject Person : Sitter,
411,Shenda,Amery,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",Female
7962,Christoph Friedrich,Ammon,,,,Individual,Person,Subject Person : Sitter,
6476,Marjorie-Ann,Ancell,Marjorie-Ann,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
7961,Faustino,Anderloni,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
7058,Anne,Anderson,Anne,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5853,Briony,Anderson,Briony,,,,Person,"Depositor, Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
6035,Charlene,Anderson,Charlene,,,,Person,"Production Person (pri & sec), Production Person (primary)",
798,Fiona,Anderson,,,,Individual,,Current Owner,
7018,Gordon,Anderson,Gordon,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
692,J A,Anderson,Alasdair,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8194,James,Anderson,,,,Individual,Person,Subject Person : Sitter,Male
7207,Norman W.,Anderson,Norman,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5382,Robert Rowand,Anderson,Robert,,,Individual,Person,"Production Person (pri & sec) : Architect, Production Person (primary) : Architect",
6611,Valerie,Anderson,Valerie,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
8466,Marjorie,Ann,Marjorie,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7543,Elizabeth,Antell,,Miss,,,Person,"Cataloguer, Loc'n Authoriser, Loc'n Mover",Female
7737,Jan,Antonides van der Goes,,,,Individual,Person,Subject Person : Sitter,
8936,Mike,Anusas,Mike,Dr,,,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
7791,Siegmund (Sigismund) Jakob,Apinus,,,,Individual,Person,Subject Person : Sitter,
1537,Edward Victor,Appleton,Edward,Sir,"GBE, KCB, MA, DSc, FRS, Hon LLD, Hon ScD, Hon LittD, Nobel Laureate",Individual,Person,Subject Person : Sitter,Male
8016,Dominique Francois Jean,Arago,,,,Individual,Person,Subject Person : Sitter,
7876,Michele,Araldi,,,,Individual,Person,Subject Person : Sitter,
7761,John,Arbuthnot,,,,Individual,Person,Subject Person : Sitter,Male
1500,Benedictus,Aretius,Benedictus,,,,Person,Subject Person : Sitter,Male
7674,Giovanni,Argenterio,,,,Individual,Person,Subject Person : Sitter,
8121,Petrus,Arlensis de Scudalupis,,,,Individual,Person,Subject Person : Sitter,
8435,Zeynep,Arman,Zeynep,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6810,John Taylor,Arms,John,,,,Person,Researcher,
7746,Roland Paul,Arnaud,,,,Individual,Person,Subject Person : Sitter,
6403,Sheila,Arnot,Sheila,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6462,Andrew,Arnott,Andrew,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
