System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
1872,,,,,,Business,Corporate,"Production Person (pri & sec), Production Person (pri & sec) : Maker, Production Person (primary), Production Person (primary) : Maker",
4360,,,,Duke,of Argyll,Individual,,"Production Person (pri & sec) : Recipient, Production Person (primary) : Recipient",
4385,,,D.M.,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (primary) : Mapmaker",
4397,,,,Earl,of Dumfries,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4398,,,,Earl,of Findlater,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4408,,,,Duke,of Gordon,Individual,,"Production Person (pri & sec) : Associated Person, Production Person (pri & sec) : Landowner, Production Person (primary) : Associated Person, Production Person (primary) : Landowner",
4412,,,,Duke,of Hamilton,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4640,,,T. C.,,,Individual,,"Production Person (pri & sec) : Draughtsman, Production Person (primary) : Draughtsman",
4757,,,,Countess & Duchess,of Roxburghe,Individual,,"Production Person (pri & sec) : Author, Production Person (primary) : Author",
4763,,,,Laird,of Grant,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4765,,,,Earl,of Moray,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4665,Alexander,,,Earl,of Eglinton,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4666,Alexander,,,Earl,of Galloway,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4139,Anne,,,Queen,of Great Britain,Individual,Person,Subject Person,
4307,Anne,,,Queen,of Great Britain,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (pri & sec) : Author, Production Person (primary) : Dedicatee, Production Person (primary) : Author",
4948,Archibald,,,Marquis,of Dunglas,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
5419,Babraham,,,,,Individual,Person,"Production Person (pri & sec) : Associated Person, Production Person (primary) : Associated Person",
3999,Caroline,,,Queen,"consort of George II, King of Great Britain",Individual,Person,Subject Person,
4036,Catherine II,,,Empress,of Russia,Individual,Person,Subject Person,
4531,Charles,,,Duke,of Queensbury,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4675,Charles,,,Earl,of Traquair,Individual,,"Production Person (pri & sec) : Associated Person, Production Person (pri & sec) : Dedicatee, Production Person (primary) : Associated Person, Production Person (primary) : Dedicatee",
3990,Charles Edward,,,Prince,"grandson of James II, King of England",,Person,Subject Person,
4005,Charles II,,,King,of England,Individual,Person,Subject Person,
4039,Charles V,,,Holy Roman Emperor,,,Person,Subject Person,
1599,Elizabeth,,,,Duchess of Sutherland,,Person,"Production Person (pri & sec) : Artist, Production Person (secondary) : Artist",
3982,Elizabeth I,,Elizabeth,Queen,of England,Individual,Person,Subject Person,
5404,Euclid,,,,,Individual,Person,"Production Person (pri & sec) : Author, Production Person (primary) : Author",
5063,Eva,,Lady Touche,,,Individual,Person,Acquisition Source : donor,
4546,Francis,,,Earl,of Buccleuch,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4067,Frederick II,,,King,of Prussia,Individual,Person,Subject Person,
4292,George,,,Prince,of Denmark,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4519,George,,,13th Earl,of Morton,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4572,George,,,Earl,of Panmure,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (pri & sec) : Landowner, Production Person (primary) : Dedicatee, Production Person (primary) : Landowner",
4678,George,,,Earl,of Winton,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4068,George II,,,King,of Great Britain,Individual,Person,Subject Person,
3986,George IV,,George,King,of Great Britain,Individual,Person,Subject Person,
4069,George IV,,,King,of Great Britain,Individual,Person,Subject Person,
4405,George [1st],,,King,of Great Britain,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
94,"Giambologna, Giovanni, Jean",", da Bologna, de Bologne",Giambologna,,,,Person,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
4072,Gustaf II Adolf,,,King,of Sweden,Individual,Person,Subject Person,
4676,Henry,,,Earl,of Weems,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4089,Henry IV,,Henry,King,of France,Individual,Person,Subject Person,
4421,James,,,Earl,of Perth,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4509,James,,,Duke,of Hamilton,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (pri & sec) : Recipient, Production Person (primary) : Dedicatee, Production Person (primary) : Recipient",
4532,James,,,14th Earl,of Morton,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4553,James,,,Duke,of Drummond,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4661,James,,,Duke,of Monmouth,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4664,James,,,Earl,of Callendar,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4677,James,,,Earl,of Weems,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4945,James,,,1st Duke,of Hamilton,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
3998,James I,,James,King,of England,Individual,Person,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee, Subject Person",
4004,James IV,,,King,of Scotland,Individual,Person,Subject Person,
4077,James V,,,King,of Scotland,Individual,Person,Subject Person,
4148,Jeanne,,,Queen,"Consort of Louis XII, King of France",Individual,Person,Subject Person,
3983,John,,John,King,of England,Individual,Person,Subject Person,
4542,John,,,Earl,of Gowrie,Individual,,"Production Person (pri & sec) : Associated Person, Production Person (primary) : Associated Person",
4668,John,,,Earl,of Lauderdale,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4670,John,,,Earl,of Lindsay,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4673,John,,,Earl,of Marr,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4949,John,,,Marquis,of Tweeddale,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4007,Louis XI,,Louis,King,of France,Individual,Person,Subject Person,
5401,Margaret,,,Queen,of Scotland,Individual,Person,"Production Person (pri & sec) : Associated Person, Production Person (primary) : Associated Person",
3550,Mary,,Mary,Queen,of Scots,,Person,"Production Person (pri & sec) : Associated Person, Production Person (pri & sec) : Author, Production Person (primary) : Associated Person, Production Person (primary) : Author, Subject Person",
3112,N/A,,,,,Individual,Person,"Production Person (pri & sec) : Author, Production Person (primary) : Author",
3995,Napoleon I,,,Emperor,of the French,Individual,Person,Subject Person,
4001,Richard I,,,King,of England,Individual,Person,Subject Person,
3987,Rob Roy,,,,,Individual,Person,Subject Person,
4671,Robert,,,Earl,of Lothian,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4158,Robert I,,,King,of Scots,Individual,Person,Subject Person,
3997,Robert III,,Robert,King,of Scotland,Individual,Person,Subject Person,
4161,Saladin,,,Sultan,of Egypt and Syria,Individual,Person,Subject Person,
4152,Theodosius I,,,Emperor,of Rome,Individual,Person,Subject Person,
4078,Thomas,,,,the Rhymer,Individual,Person,Subject Person,
4674,Thomas,,,Earl,of Pembroke and Montgomery,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
5379,Virgil,,Virgil,,,Individual,Person,"Production Person (pri & sec) : Poet, Production Person (primary) : Poet",
4672,William,,,Earl,of Lothian,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4535,William Augustus,,,Duke,of Cumberland,Individual,,"Production Person (pri & sec) : Associated Person, Production Person (primary) : Associated Person",
2171,,"""Dresden""",,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2398,,'Acme' [J.Hudson & Co. Ltd],,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2397,,'Jetel',,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4669,John, (Crawford?),,Earl,of Lindsay,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
2499,,A. Buffet jeune,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1974,,"A. Buffet, Jne",,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1551,,"A. C. Cooper, Ltd.",,,,,Corporate,"Production Person (pri & sec) : Photographer, Production Person (secondary) : Photographer",
2829,,A. Douchet & Cie,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2651,,A. Lecomte & Cie.,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2778,,A. Lecomte et Cie,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1953,,A.G. Badger & Co,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1694,,A.J. Ross [J. and R. Glen].,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary), Acquisition Source, Acquisition Source : donor, Acquisition Source : lender, Acquisition Source : vendor",
7748,"Pieter van der, Pierre vander, Petrus vander","Aa, Aa",,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Mapmaker, Production Person (pri & sec) : Printmaker, Production Person (pri & sec) : Author, Production Person (pri & sec) : Publisher, Production Person (primary), Production Person (primary) : Mapmaker, Production Person (primary) : Printmaker, Production Person (primary) : Author, Production Person (primary) : Publisher",
1692,Jarkko,Aallonloiske,,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
941,Lemuel Francis,Abbott,Lemuel Francis,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
4903,Robert,Abercrombie,,Sir,,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4969,,Aberdeen City Archives,,,,Institution,Corporate,Controlling Institution,
2838,,Ackerman,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1652,,Acme,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4869,,Adair,,Rev.,,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
4651,John,Adair,,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (pri & sec) : Associated Person, Production Person (pri & sec) : Surveyor, Production Person (pri & sec) : Author, Production Person (pri & sec) : Publisher, Production Person (primary) : Mapmaker, Production Person (primary) : Associated Person, Production Person (primary) : Surveyor, Production Person (primary) : Author, Production Person (primary) : Publisher",
4159,Alexander,Adam,Alexander,,,Individual,Person,Subject Person,
4654,William,Adam,,,,Individual,,"Production Person (pri & sec) : Associated Person, Production Person (pri & sec) : Surveyor, Production Person (pri & sec) : Recipient, Production Person (primary) : Associated Person, Production Person (primary) : Surveyor, Production Person (primary) : Recipient",
2483,J,Adamson,J,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
942,George Henry,Adcock,George Henry,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
3923,Joseph,Addison,Joseph,,,Individual,Person,Subject Person,
8978,Rosemary,Addison,Rosy,Dr,,,Person,"Provenance Person, Acquisition Source : donor",
5141,S,Addison,S,,,Individual,Person,Acquisition Source : lender,
1560,Jules,Adenis,,,,,Person,"Production Person (pri & sec) : Librettist, Production Person (secondary) : Librettist",
7219,,Adie & Son,,,,,Corporate,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
943,Henry,Adlard,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
2365,,Adler,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2835,,Adler & Co,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2308,Oskar,Adler,Oskar,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
1871,,"Adler|&|Co., or R.E.|Westerlund.",,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
835,,Administration,,,,Academic,Corporate,Controlling Institution,
2832,,Adolphe Sax fils,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2600,,Adoracio*/n Biu*/,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1635,,African Musical Instruments,,,,Academic,Corporate,"Production Person (pri & sec), Production Person (primary)",
4206,Jock,Agnew,Jock,,,Individual,Person,Acquisition Source : donor,
4010,Henri Francois d',Aguesseau,Henri,,,Individual,Person,Subject Person,
2062,,Ahlberg & Ohlsson,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2611,,Ahlberg and Ohlsson,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
944,George W.,Aikman,George W.,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
877,William,Aikman,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (pri & sec) : Artist, Production Person (pri & sec) : possibly after, Production Person (primary) : Painter, Production Person (primary) : Artist, Production Person (primary) : possibly after",Male
4357,,Ainslie,,Mr.,,Individual,,"Production Person (pri & sec) : Associated Person, Production Person (primary) : Associated Person",
945,Elliot,Aitchison,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5402,Nasir,al-Din al-Tusi,,,,Individual,Person,"Production Person (pri & sec) : Translator, Production Person (primary) : Translator",
5391,Kamal,al-Manayir,,,,Individual,Person,"Production Person (pri & sec) : Associated Person, Production Person (primary) : Associated Person",
2121,Joseph,Albanus,Joseph,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
946,Charles Louis Napoleon d',Albert,Charles d',,,Individual,,"Production Person (pri & sec) : Composer, Production Person (secondary) : Composer",
2267,E,Albert,E,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2198,E.J.,Albert,E.J.,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2191,Eugène,Albert,Eugène,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2546,J,Albert,J,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2196,J.B.,Albert,J.B.,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2559,Jacques,Albert,Jacques,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Possible maker, Production Person (primary), Production Person (primary) : Possible maker",
2367,Jean Baptiste,Albert,Jean,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
1731,Carlo,Albertini é Figlio,,,,,Person,"Production Person (pri & sec), Production Person (primary)",
4722,Girolamo,Albrizzi,,,,Individual,,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
4012,Jean Le Rond d',Alembert,Jean,,,Individual,Person,Subject Person,
1845,,Alexander,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2922,,Alexander,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2020,J,Alexander,J,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
4913,John,Alexander,,Bishop,,Individual,,"Production Person (pri & sec) : Recipient, Production Person (primary) : Recipient",
4053,Dante,Alighieri,,,,Individual,Person,Subject Person,
4011,Archibald,Alison,Archibald,,,Individual,Person,Subject Person,
947,William,Allan,,,,Individual,,"Production Person (pri & sec) : Draftsman, Production Person (pri & sec) : Painter, Production Person (pri & sec) : Artist, Production Person (primary) : Draftsman, Production Person (primary) : Painter, Production Person (primary) : Artist, Subject Person",
948,Patrick,Allan-Fraser,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
4289,Carel,Allard,,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (pri & sec) : Author, Production Person (primary) : Mapmaker, Production Person (primary) : Author",
4213,Heron,Allen,Heron,,,Individual,Person,"Production Person (pri & sec) : Author, Production Person (primary) : Author",
5077,Hugo,Allen,Hugo,,,,Person,"Acquisition Source : donor, Acquisition Source : lender",
949,James Baylis,Allen,James Baylis,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
8965,Stephanie,Allen,Stephanie,Ms,,,Person,Treatment Person,Female
950,Thomas,Allom,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
4918,Pieter van,Alphen,,,,Individual,,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
2021,J,Altrichter,J,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
1744,Jose,Alvarez,,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
7015,,AM & C,,,,,Corporate,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
7344,Andrea,Amati,Andrea,,,,Person,"Production Person (pri & sec), Production Person (primary)",
7351,Antonius and Hieronymus,Amati,Antonius,,,,Person,"Production Person (pri & sec), Production Person (primary)",
8810,Ann Patricia,Ambler,Pat,,,,Person,"Production Person (pri & sec) : software developer, Production Person (primary) : software developer",Female
2880,,Americus Backers,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1866,,Amlingue,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1591,Faustino,Anderloni,,,,,Person,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
4853,Jabez,Anderson,,,,Individual,,"Production Person (pri & sec) : Draughtsman, Production Person (primary) : Draughtsman",
4358,John,Anderson,,,,Individual,,"Production Person (pri & sec) : Surveyor, Production Person (primary) : Surveyor",
4657,John,Anderson,,Captain,,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
5382,Robert Rowand,Anderson,Robert,,,Individual,Person,"Production Person (pri & sec) : Architect, Production Person (primary) : Architect",
951,John,Andrew,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
5234,K,Andrews,K,,,Individual,Person,Acquisition Source : donor,
1705,,The Anglo-American Zither Company,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
952,William,Angus,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
4359,,Anonymous,,,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Copyist, Production Person (pri & sec) : Mapmaker, Production Person (pri & sec) : Surveyor, Production Person (pri & sec) : Draughtsman, Production Person (pri & sec) : Author, Production Person (pri & sec) : Maker, Production Person (primary), Production Person (primary) : Copyist, Production Person (primary) : Mapmaker, Production Person (primary) : Surveyor, Production Person (primary) : Draughtsman, Production Person (primary) : Author, Production Person (primary) : Maker, Acquisition Source : donor",
2175,,Anton (... illegible),,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
953,Wilfred Crawford,Applebey,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
954,J. W.,Appleton,J. W.,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
4806,John,Archer,,,,Individual,,"Production Person (pri & sec) : Surveyor, Production Person (primary) : Surveyor",
1775,,Aria,,,,,Corporate,"Production Person (pri & sec), Production Person (primary)",
4013,Lodovico,Ariosto,,,,Individual,Person,Subject Person,
4014,Richard,Arkwright,Richard,Sir,,Individual,Person,Subject Person,Male
955,Thomas,Armstrong,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
1672,,Army & Navy Co,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
956,James Charles,Armytage,James Charles,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
957,George,Arnald,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
4983,,"Arnamagnæanske Institute, University of Copenhagen",,,,Institution,Corporate,Controlling Institution,
8950,,Arnolds & Sons,,,,,Corporate,"Production Person (pri & sec), Production Person (primary)",
2250,,Arsène-Zoë Lecomte & Cie,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4688,Ambrose,Arsenius,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
4689,Ferdinand,Arsenius,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
