Image,Individual,Calendar,,,,
UoEgal~5~5~150311~162636,01! October x,2016: Cities of the World,,,,
UoEgal~5~5~150315~162632,02! November x,2016: Cities of the World,,,,
UoEgal~5~5~150320~162627,03! December x,2016: Cities of the World,,,,
UoEgal~5~5~150329~162618,04! January,2016: Cities of the World,,,,
UoEgal~5~5~150310~162637,05! February,2016: Cities of the World,,,,
UoEgal~5~5~150323~162624,06! March,2016: Cities of the World,,,,
UoEgal~5~5~150330~162617,07! April,2016: Cities of the World,,,,
UoEgal~5~5~150332~162615,08! May,2016: Cities of the World,,,,
UoEgal~5~5~150321~162626,09! June,2016: Cities of the World,,,,
UoEgal~5~5~150316~162631,10! July,2016: Cities of the World,,,,
UoEgal~5~5~150318~162629,11! August,2016: Cities of the World,,,,
UoEgal~5~5~150327~162620,12! September,2016: Cities of the World,,,,
UoEgal~5~5~150317~162630,13! October,2016: Cities of the World,,,,
UoEgal~5~5~150314~162633,14! November,2016: Cities of the World,,,,
UoEgal~5~5~150333~162614,15! December,2016: Cities of the World,,,,
UoEwmm~2~2~40947~102081,00! Cover,2015: David Laing,,,,
UoEwmm~2~2~76979~104046,01! October x,2015: David Laing,,,,
UoEwmm~2~2~41465~102127,02! November x,2015: David Laing,,,,
UoEwmm~1~1~60358~103963,03! December x,2015: David Laing,,,,
UoEwmm~2~2~43462~103168,04! January,2015: David Laing,,,,
UoEwmm~2~2~77056~104052,05! February,2015: David Laing,,,,
UoEwmm~2~2~40903~102077,06! March,2015: David Laing,,,,
UoEwmm~2~2~43726~101937,07! April,2015: David Laing,,,,
UoEwmm~2~2~42840~102252,08! May,2015: David Laing,,,,
UoEwmm~2~2~41002~102086,09! June,2015: David Laing,,,,
UoEwmm~2~2~51097~103201,10! July,2015: David Laing,,,,
UoEwmm~2~2~40936~102080,11! August,2015: David Laing,,,,
UoEwmm~2~2~43531~103174,12! September,2015: David Laing,,,,
UoEwmm~2~2~76968~104045,13! October,2015: David Laing,,,,
UoEwmm~1~1~58121~103776,14! November,2015: David Laing,,,,
UoEwmm~2~2~77043~104051,15! December,2015: David Laing,,,,
UoEgal~4~4~44042~103300,00! Cover,2014: Bygone Edinburgh,,,Cover 2014,"University of Edinburgh Old College, South Bridge"
UoEgal~4~4~44196~103314,04! January,2014: Bygone Edinburgh,,,Jan-14,Curling at Blackford Pond
UoEhal~2~2~100071~100051,05! February,2014: Bygone Edinburgh,,,Feb-14,"Anatomy Museum in the University of Edinburgh Medical School, Teviot Place"
UoEgal~5~5~90950~107211,06! March,2014: Bygone Edinburgh,,,Mar-14,Demonstration of the Cantilever Principle of the Forth Bridge
UoEgal~4~4~44053~103301,07! April,2014: Bygone Edinburgh,,,Apr-14,Edinburgh from Calton Hill
UoEcar~4~4~53531~102259,08! May,2014: Bygone Edinburgh,,,May-14,Newhaven Fishermen
UoEgal~5~5~60046~105506,09! June,2014: Bygone Edinburgh,,,Jun-14,"Children in Tron Square, Edinburgh"
UoEcar~4~4~49049~102588,10! July,2014: Bygone Edinburgh,,,Jul-14,The High Street with John Knox's House
UoEgal~5~5~90961~107212,11! August,2014: Bygone Edinburgh,,,Aug-14,The Forth Bridge under Construction
UoEcar~4~4~51721~102783,12! September,2014: Bygone Edinburgh,,,Sep-14,"Boys at Newhaven, Edinburgh"
UoEcar~4~4~47400~102470,13! October,2014: Bygone Edinburgh,,,Oct-14,"Trinity College Chapel and Hospital, with Calton Hill in the background, Edinburgh"
UoEgal~4~4~44086~103304,14! November,2014: Bygone Edinburgh,,,Nov-14,"Old College Quadrangle, University of Edinburgh"
UoEgal~4~4~44185~103313,15! December,2014: Bygone Edinburgh,,,Dec-14,Skating on Duddingston Loch
UoEgal~5~5~76521~105853,04! January,2013: Children's Games,,,Jan-13,Girls playing Hanetsuki
UoEgal~5~5~76557~105856,05! February,2013: Children's Games,,,Feb-13,Small boys spinning tops and blowing bubbles
UoEgal~5~5~76509~105852,06! March,2013: Children's Games,,,Mar-13,Girls playing Sugoroku and Juroku-Musashi
UoEgal~5~5~76569~105857,07! April,2013: Children's Games,,,Apr-13,Boys play sword fighting
UoEgal~5~5~76497~105851,08! May,2013: Children's Games,,,May-13,Girls hunting fireflies (hotaru-gari)
UoEgal~5~5~76581~105858,09! June,2013: Children's Games,,,Jun-13,Boys catching gold fish
UoEgal~5~5~76485~105850,10! July,2013: Children's Games,,,Jul-13,Children imitating their elders at a summer festival (natsu marsuri)
UoEgal~5~5~76593~105859,11! August,2013: Children's Games,,,Aug-13,Girls singing at the Bon festival
UoEgal~5~5~76473~105849,12! September,2013: Children's Games,,,Sep-13,Children watching revolving shadows on a latern
UoEgal~5~5~76605~105860,13! October,2013: Children's Games,,,Oct-13,Young boys pursuing a hare
UoEgal~5~5~76461~105848,14! November,2013: Children's Games,,,Nov-13,Girls playing with their little burdens
UoEgal~5~5~76617~105861,15! December,2013: Children's Games,,,Dec-13,Children building a snowman
UoEart~2~2~73053~164083,04! January,2012: Historical Musical Instruments at St Cecilia's Hall,,,Jan-12,Virginal
