image_id,shelfmark,jpeg_path
0025063c,145,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59829~102995
0025055c,158,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59735~102988
0025060c,163,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59802~102993
0025075c,183,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59975~103006
0025076c,265,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59989~103007
0025087c,552,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60137~103018
0025088c,553,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60150~103019
0056413c,564,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74253~103054
0056414c,565,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74268~103055
0025079c,590,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60029~103010
0025071c,611,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59923~103002
0025066c,637,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59857~102997
0025065c,638,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59843~102996
0025082c,641,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60070~103013
0025083c,648,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60084~103014
0025056c,659,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59749~102989
0025048c,660,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59668~102977
0025045c,661,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59654~102976
0025080c,671,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60042~103011
0025081c,975,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60056~103012
0025074c,1007,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59962~103005
0009330c,1061,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58400~102041
0009290c,1071,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58121~102019
0009288c,1072,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58095~102017
0009289c,1077,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58108~102018
0009312c,1080,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58375~102039
0009299c,1092,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58221~102027
0009300c,1093,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58233~102028
0013196c,1107,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56088~102099
0009298c,1128,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58209~102026
0009297c,1131,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58196~102025
0009296c,1138,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58184~102024
0009295c,1145,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58172~102023
0009294c,1146,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58159~102022
0013197c,1147,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56101~102100
0009293c,1147,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58146~102021
0009292c,1159,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58134~102020
0009329c,1176,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58388~102040
0056157c,1245,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74240~103053
0056155c,1248,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74227~103052
0056154c,1251,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74214~103051
0056153c,1253,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74201~103050
0056152c,1257,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74182~103049
0002537c,1269,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57751~101970
0002540c,1270,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57788~101973
0002541c,1271,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57800~101974
0025086c,1276,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60124~103017
0024521c,1316,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59621~102223
0024520c,1318,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59608~102222
0002536c,1350,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57738~101969
0002539c,1352,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57776~101972
0002538c,1353,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57763~101971
0025084c,1486,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60098~103015
0005918c,1487,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~55983~101987
0025062c,1487,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59816~102994
0005919c,1488,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~55996~101988
0005917c,1490,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~55968~101986
0025073c,1491,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59949~103004
0025058c,1503,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59776~102991
0025057c,1508,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59763~102990
0078275c,1566,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74428~165330
0078276c,1568,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74429~165329
0078273c,1569,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74426~165332
0078272c,1571,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74425~165333
0078274c,1572,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~74427~165331
0010490c,1620,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59020~102087
0010491c,1622,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59033~102088
0010487c,1624,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58981~102084
0010489c,1627,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59007~102086
0010488c,1628,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58994~102085
0009303c,2057,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58258~102030
0009304c,2061,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58271~102031
0009305c,2062,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58284~102032
0009306c,2072,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58297~102033
0007342c,2077,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56406~101998
0009332c,2089,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58426~102043
0007341c,2091,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56394~101997
0007345c,2099,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56444~102001
0007346c,2099,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56457~102002
0007348c,2099,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56482~102004
0009331c,2116,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58413~102042
0025035c,2132,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59635~102975
0009307c,2134,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58310~102034
0009308c,2149,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58323~102035
0009309c,2151,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58336~102036
0009333c,2154,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58439~102044
0025078c,2155,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60016~103009
0025070c,2156,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59910~103001
0025077c,2157,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60003~103008
0025053c,2158,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59709~102986
0009310c,2173,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58349~102037
0009311c,2179,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58362~102038
0009301c,2187,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58245~102029
0025054c,2196,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59722~102987
0025059c,2197,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59789~102992
0025051c,2200,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59682~102984
0009114c,2263,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57999~102009
0009115c,2264,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58011~102010
0009116c,2265,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58023~102011
0009118c,2266,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58047~102013
0009117c,2267,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58035~102012
0009120c,2268,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58071~102015
0009119c,2269,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58059~102014
0009121c,2275,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58083~102016
0009111c,2276,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57963~102006
0009113c,2277,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57987~102008
0009112c,2278,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57975~102007
0009110c,2283,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~57951~102005
0022564c,2413,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59085~102180
0022565c,2415,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59097~102181
0025085c,2434,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60111~103016
0025072c,2435,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59936~103003
0025114c,2436,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60163~103020
0025411c,4035,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60245~102983
0025410c,4038,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60231~102982
0025406c,4040,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60175~102978
0025408c,4041,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60203~102980
0025407c,4042,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60189~102979
0025409c,4043,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~60217~102981
0025069c,4464,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59898~103000
0025068c,4465,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59885~102999
0025052c,4567,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59695~102985
0025067c,4720,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~59871~102998
0009334c,4756,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58452~102045
0009335c,4758,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58465~102046
0009336c,4759,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58478~102047
0009337c,4760,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58491~102048
0009338c,4761,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58504~102049
0007337c,4775,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56345~101993
0007338c,4776,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56357~101994
0009339c,4780,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58517~102050
0007339c,4792,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56369~101995
0007343c,4802,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56418~101999
0007344c,4802,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56431~102000
0007347c,4802,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56470~102003
0009340c,4809,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58530~102051
0009341c,4816,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~58543~102052
0007340c,4830,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56382~101996
0013913c,4893,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56207~102108
0013123c,4900,https://images.is.ed.ac.uk/luna/servlet/detail/UoEcar~3~3~56075~102098
