Acta Botanica Brasilica,0102-3306
Acta Botanica Croatica,0365-0588
Acta Botanica Gallica,1253-8078
Acta Botanica Islandica,0374-5066
Acta Horticulturae,0567-7572
Acta Oecologica: International Journal of Ecology,1146-609X
Acta Phytotaxonomica et Geobotanica,1346-7565
Acta Phytotaxonomica Sinica,0529-1526
Acta Universitatis Upsaliensis Symbolae Botanicae Upsalienses,0346-5462
Adansonia,1280-8571
African Journal of Ecology,0141-6707
Agarica,0800-1820
Aliso,0065-6275
Alpine Botany,1664-2201
Amateur Gardening,
Ambiente y Desarrollo,0716-1476
American Fern Journal,0002-8444
American Journal of Botany,0002-9122
Anales del Jardín Botánico de Madrid,0211-1322
Anali za istrske in mediteranske studije,1408-533X
Animal Biology,1570-7555
Annalen des Naturhistorischen Museums in Wien,0255-0105
Annales Botanici Fennici,0003-3847
Annals of Applied Biology,0003-4746
Annals of Botany,0305-7364
Annals of the Kirstenbosch Botanic Garden,0258-3305
Annals of the Missouri Botanical Garden,0026-6493
Annals of Science,0003-3790
Annals of the Tsukuba Botanical Garden,0289-3568
Annual Review of Ecology, Evolution and Systematics,1543-592X
Annual Review of Plant Biology,1543-5008
AoB Plants,2041-2851
Applications in Plant Sciences,2168-0450
Aquatic Botany,0304-3770
Arab Gulf Journal of Scientific Research,1015-4442
Arancia Blu,
Årbok for Universitetet i Bergen. Mat.-Naturv. Serie,
Arc Journal,0700-9763
ARC Magazine,
Archaeology International,1463-1725
Archiv für Protistenkunde,0003-9365
Archives of Natural History,0260-9541
Arctic, Antarctic, and Alpine Research,1523-0430
Arctoa,0131-1379
Asian Art,
Astarte,0044-9768
Australian Journal of Botany,0067-1924
Australian Journal of Chemistry,0004-9425
Australian Journal of Zoology,0004-959X
Australasian Lichenology,1328-4401
Australian Mammalogy,0310-0049
Australian Systematic Botany,1030-1887
B.B.S.R.C. Business,
B.S.B.I. News,2397-8813
B.S.B.I. Recorder,
B.S.B.I. Scottish Newsletter,
B.S.B.I. Yearbook,2046-2727
B.S.E. News : Newsletter of the Botanical Society of Edinburgh,
B.S.S. News : Newsletter of the Botanical Society of Scotland,
Baltic Forestry,1392-1355
Bangladesh Journal of Botany,0253-5416
Bangladesh Journal of Plant Taxonomy,1028-2092
Banko Janakari,1016-0582
Basic and Applied Dryland Research,1864-3191
Begonian,0096-8684
Beihefte zur Nova Hedwigia,1438-9134
Beihefte zur Sydowia,
Beitraege zur Biologie der Pflanzen,0005-8041
Belgian Journal of Botany,0037-9557
BEN - Botanical Electronic News,1188-603X
Berwick Advertiser and Berwickshire News,
Berwickshire News,2052-9503
BGCI News,
BGjournal,1811-8712
Biodiversity Information Science and Standards,2535-0897
Bibliotheca Lichenologica,0067-8066
Bibliotheca Mycologica,
Binary: Computing in Microbiology,0266-304X
Biochemical Systematics and Ecology,0305-1978
Biodiversity and Conservation,0960-3115
Biodiversity Data Journal,1314-2828
Biodiversity Informatics,1546-9735
Biodiversity News,1360-1164
BioEssays,0265-9247
Biogeography,1345-0662
Biogeosciences,1726-4170
Biologia (Bratislava),0006-3088
Biologia Plantarum,0006-3134
Biological Conservation,0006-3207
Biological Journal of the Linnean Society,0024-4066
Biological Reviews,1464-7931
Biologiske Skrifter,0366-3612
Biology International,0253-2069
Biology Curator,1355-8331
Biology Letters,1744-9561
Bioscience,0006-3568
Biosystema,1142-7833
Biotropica,0006-3606
Biotype,1358-0795
Bird Conservation International,0959-2709
Blekksoppen,0800-6318
Blumea,0006-5196
Blyttia,0006-5269
BMC Biology,1741-7007
BMC Evolutionary Biology,1471-2148
BMC Plant Biology,1471-2229
Bocconea,1120-4060
Boissiera,0373-2975
Boletim do Herbário Ezechias Paulo Heringer, Brasília,0104-5334
Boletim da Sociedade Broteriana,0081-0657
Boletin de la Sociedad Argentina de Botanica,1851-2372
Boletin de la Sociedad Micologica de Madrid,0214-140X
Bollettino del Gruppo Micologico Giacomo Bresadola,0392-4874
Bosque,0717-9200
Botanic Gardens Conservation News,0965-2582
Botanica Complutensis ,0214-4565
Botanica Marina,0006-8055
Botanica Orientalis,1726-6858
Botanical Artist, The,1523-5165
Botanical Journal of Scotland,0374-6607
Botanical Journal of the Linnean Society,0024-4074
